study,instrument,question,url,url_de,label,label_de
gip,W59,Page 1 Introduction,,https://github.com/paneldata/gip/raw/master/screenshots/W59/W59_P1.png,,image_0
gip,W59,Page 2,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59001.png,,image_0
gip,W59,Page 3,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59002.png,,image_0
gip,W59,Page 4,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59003.png,,image_0
gip,W59,Page 5,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59025_TXT.png,,image_0
gip,W59,Page 6,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59004.png,,image_0
gip,W59,Page 7,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59005.png,,image_0
gip,W59,Page 8,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59006.png,,image_0
gip,W59,Page 9,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59026_TXT.png,,image_0
gip,W59,Page 10,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59007.png,,image_0
gip,W59,Page 11,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59008_1.png,,image_0
gip,W59,Page 11,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59008_2.png,,image_1
gip,W59,Page 12,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59009_1.png,,image_0
gip,W59,Page 12,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59009_2.png,,image_1
gip,W59,Page 13,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59027_TXT.png,,image_0
gip,W59,Page 14,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59010.png,,image_0
gip,W59,Page 15,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59011.png,,image_0
gip,W59,Page 16,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59012.png,,image_0
gip,W59,Page 17,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59013.png,,image_0
gip,W59,Page 18,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59014.png,,image_0
gip,W59,Page 19,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59028_TXT.PNG,,image_0
gip,W59,Page 20,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59015.png,,image_0
gip,W59,Page 21,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59016.png,,image_0
gip,W59,Page 22,,https://github.com/paneldata/gip/raw/master/screenshots/W59/CF59015.png,,image_0
gip,W59,Page 23,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59029_TXT.png,,image_0
gip,W59,Page 24,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59018.png,,image_0
gip,W59,Page 25,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59019.png,,image_0
gip,W59,Page 26,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59020.png,,image_0
gip,W59,Page 27,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59021.png,,image_0
gip,W59,Page 28,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59022.png,,image_0
gip,W59,Page 29,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59030_TXT.png,,image_0
gip,W59,Page 30,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59023.png,,image_0
gip,W59,Page 31,,https://github.com/paneldata/gip/raw/master/screenshots/W59/RM59024.png,,image_0
gip,W59,Page 32,,https://github.com/paneldata/gip/raw/master/screenshots/W59/CF59002.png,,image_0
gip,W59,Page 33,,https://github.com/paneldata/gip/raw/master/screenshots/W59/CF59001.png,,image_0
gip,W59,Page 34,,https://github.com/paneldata/gip/raw/master/screenshots/W59/CF59103.png,,image_0
gip,W59,Page 35,,https://github.com/paneldata/gip/raw/master/screenshots/W59/CF59104.png,,image_0
gip,W59,Page 36,,https://github.com/paneldata/gip/raw/master/screenshots/W59/CF59105.png,,image_0
gip,W59,Page 37,,https://github.com/paneldata/gip/raw/master/screenshots/W59/CF59106.png,,image_0
gip,W59,Page 38,,https://github.com/paneldata/gip/raw/master/screenshots/W59/AP59001.png,,image_0
gip,W59,Page 39,,https://github.com/paneldata/gip/raw/master/screenshots/W59/AP59002_1.png,,image_0
gip,W59,Page 39,,https://github.com/paneldata/gip/raw/master/screenshots/W59/AP59002_2.png,,image_1
gip,W59,Page 39,,https://github.com/paneldata/gip/raw/master/screenshots/W59/AP59002_3.png,,image_2
gip,W59,Page 39,,https://github.com/paneldata/gip/raw/master/screenshots/W59/AP59002_4.png,,image_3
